"STATION","NAME","DATE","PRCP","TAVG","TMAX","TMIN","TOBS"
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2021-09-30",,"78","80","75",
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2021-10-01",,"82","84","81",
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2021-10-02",,"84","85","82",
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2021-10-03",,"82","83","80",
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2021-10-04",,"86","87","86",
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2021-10-05",,"81","82","78",
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2021-10-07",,"70","74","63",
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2021-10-08",,"63","65","59",
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2021-10-09",,"64","66","60",
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2021-10-10",,"71","72","69",
